HepS, R, 1000, 9157, 19316, 0.
HepS, R, 10000, 124216, 258434, 1.
HepS, R, 100000, 1574543, 3249088, 19.
HepS, R, 1000000, 19048486, 39096974, 253.
HepS, R, 10000000, 223838128, 457676258, 4207.
HepS, O, 1000, 9395, 19792, 0.
HepS, O, 10000, 130462, 270926, 1.
HepS, O, 100000, 1647559, 3395120, 15.
HepS, O, 1000000, 19769020, 40538042, 181.
HepS, O, 10000000, 231566857, 473133716, 2083.
HepS, I, 1000, 8317, 17636, 0.
HepS, I, 10000, 116700, 243402, 1.
HepS, I, 100000, 1497526, 3095054, 15.
HepS, I, 1000000, 18333070, 37666142, 180.
HepS, I, 10000000, 216883661, 443767324, 2073.
TimS, R, 1000, 18248, 9245, 0.
TimS, R, 10000, 145732, 125070, 1.
TimS, R, 100000, 1836908, 1584569, 18.
TimS, R, 1000000, 23152757, 19231629, 215.
TimS, R, 10000000, 193656075, 224494565, 2281.
TimS, O, 1000, 0, 1000, 0.
TimS, O, 10000, 0, 10000, 0.
TimS, O, 100000, 0, 100000, 0.
TimS, O, 1000000, 0, 1000000, 2.
TimS, O, 10000000, 0, 10000000, 22.
TimS, I, 1000, 955, 1907, 0.
TimS, I, 10000, 39101, 44724, 0.
TimS, I, 100000, 2155825, 904283, 10.
TimS, I, 1000000, 34258201, 11824393, 147.
TimS, I, 10000000, 240927086, 132469115, 1300.
BLin, O, 10000000, 0, 8496107, 17.
Bbin, O, 10000000, 0, 28, 0.
